timestamp,eval_id,cat,x1,x2,x3,x4,x5,x6,x7,x8,x9,objective
1761085107.0907617,0,baixo,1,1,1,1,1,1,1,1,1,42.844036704391115
1761085107.0917614,1,baixo,1,1,1,1,1,1,1,1,2,44.262450071380954
1761085107.0917614,2,baixo,1,1,1,1,1,1,1,1,3,45.663637079993485
1761085107.0917614,3,baixo,1,1,1,1,1,1,1,1,4,47.03942415509082
1761085107.0917614,4,baixo,1,1,1,1,1,1,1,1,5,48.38215520654988
1761085107.0917614,5,baixo,1,1,1,1,1,1,1,1,6,49.684847610454526
1761085107.0917614,6,baixo,1,1,1,1,1,1,1,1,7,50.94133446943802
1761085107.0917614,7,baixo,1,1,1,1,1,1,1,1,8,52.1463902538377
1761085107.0917614,8,baixo,1,1,1,1,1,1,1,1,9,53.29583726391438
1761085107.0917614,9,baixo,1,1,1,1,1,1,1,1,10,54.3866307441307
1761085107.0917614,10,baixo,1,1,1,1,1,1,1,1,11,55.41692091541443
1761085107.0917614,11,baixo,1,1,1,1,1,1,1,1,12,56.38609066159379
1761085107.0917614,12,baixo,1,1,1,1,1,1,1,1,13,57.29476810220085
1761085107.0917614,13,baixo,1,1,1,1,1,1,1,1,14,58.14481379549137
1761085107.0917614,14,baixo,1,1,1,1,1,1,1,1,15,58.93928283240008
1761085107.0917614,15,baixo,1,1,1,1,1,1,1,1,16,59.6823625937093
1761085107.0917614,16,baixo,1,1,1,1,1,1,1,1,17,60.379287438534114
1761085107.0917614,17,baixo,1,1,1,1,1,1,1,1,18,61.03623206221626
1761085107.0917614,18,baixo,1,1,1,1,1,1,1,1,19,61.66018569629762
1761085107.0917614,19,baixo,1,1,1,1,1,1,1,1,20,62.2588097135574
1761085107.0917614,20,baixo,1,1,1,1,1,1,1,1,21,62.84028153919393
1761085107.0917614,21,baixo,1,1,1,1,1,1,1,1,22,63.41312804822319
1761085107.0917614,22,baixo,1,1,1,1,1,1,1,1,23,63.98605184336887
1761085107.0917614,23,baixo,1,1,1,1,1,1,1,1,24,64.56775395276756
1761085107.0917614,24,baixo,1,1,1,1,1,1,1,1,25,65.16675655975382
1761085107.0917614,25,baixo,1,1,1,1,1,1,1,1,26,65.7912293763361
1761085107.0917614,26,baixo,1,1,1,1,1,1,1,1,27,66.4488231977398
1761085107.0917614,27,baixo,1,1,1,1,1,1,1,1,28,67.14651402909054
1761085107.0917614,28,baixo,1,1,1,1,1,1,1,1,29,67.89046095991961
1761085107.0917614,29,baixo,1,1,1,1,1,1,1,1,30,68.68588068208199
1761085107.0917614,30,baixo,1,1,1,1,1,1,1,1,31,69.53694120759383
1761085107.0917614,31,baixo,1,1,1,1,1,1,1,1,32,70.44667695172681
1761085107.0917614,32,baixo,1,1,1,1,1,1,1,1,33,71.41692691141195
1761085107.0917614,33,baixo,1,1,1,1,1,1,1,1,34,72.44829719847398
1761085107.0917614,34,baixo,1,1,1,1,1,1,1,1,35,73.54014869102491
1761085107.0917614,35,baixo,1,1,1,1,1,1,1,1,36,74.69061005460031
1761085107.0917614,36,baixo,1,1,1,1,1,1,1,1,37,75.896615867753
1761085107.0917614,37,baixo,1,1,1,1,1,1,1,1,38,77.15396907535283
1761085107.0917614,38,baixo,1,1,1,1,1,1,1,1,39,78.45742649720174
1761085107.0917614,39,baixo,1,1,1,1,1,1,1,1,40,79.80080564985586
1761085107.0917614,40,baixo,1,1,1,1,1,1,1,1,41,81.1771107053229
1761085107.0917614,41,baixo,1,1,1,1,1,1,1,1,42,82.57867502041755
1761085107.0917614,42,baixo,1,1,1,1,1,1,1,1,43,83.99731733295619
1761085107.0917614,43,baixo,1,1,1,1,1,1,1,1,44,85.42450844253109
1761085107.0917614,44,baixo,1,1,1,1,1,1,1,1,45,86.85154497999676
1761085107.0917614,45,baixo,1,1,1,1,1,1,1,1,46,88.26972672537929
1761085107.0917614,46,baixo,1,1,1,1,1,1,1,1,47,89.6705338616263
1761085107.0917614,47,baixo,1,1,1,1,1,1,1,1,48,91.04580055292162
1761085107.0917614,48,baixo,1,1,1,1,1,1,1,1,49,92.3878813111707
1761085107.0917614,49,baixo,1,1,1,1,1,1,1,1,50,93.68980676119249
1761085107.0917614,50,baixo,1,1,1,1,1,1,1,1,51,94.94542563113919
1761085107.0917614,51,baixo,1,1,1,1,1,1,1,1,52,96.14953007530463
1761085107.0917614,52,baixo,1,1,1,1,1,1,1,1,53,97.29796177606002
1761085107.0917614,53,baixo,1,1,1,1,1,1,1,1,54,98.38769666325123
1761085107.0917614,54,baixo,1,1,1,1,1,1,1,1,55,99.41690652502893
1761085107.0917614,55,baixo,1,1,1,1,1,1,1,1,56,100.38499625488447
1761085107.0917614,56,baixo,1,1,1,1,1,1,1,1,57,101.29261597603994
1761085107.0917614,57,baixo,1,1,1,1,1,1,1,1,58,102.14164779617624
1761085107.0917614,58,baixo,1,1,1,1,1,1,1,1,59,102.93516746235164
1761085107.0917614,59,baixo,1,1,1,1,1,1,1,1,60,103.67738169733325
1761085107.0917614,60,baixo,1,1,1,1,1,1,1,1,61,104.3735424940187
1761085107.0917614,61,baixo,1,1,1,1,1,1,1,1,62,105.02984011406852
1761085107.0917614,62,baixo,1,1,1,1,1,1,1,1,63,105.6532769707396
1761085107.0917614,63,baixo,1,1,1,1,1,1,1,1,64,106.25152496536492
1761085107.0917614,64,baixo,1,1,1,1,1,1,1,1,65,106.83276918403209
1761085107.0917614,65,baixo,1,1,1,1,1,1,1,1,66,107.40554113890292
1761085107.0917614,66,baixo,1,1,1,1,1,1,1,1,67,107.97854495162868
1761085107.0917614,67,baixo,1,1,1,1,1,1,1,1,68,108.56048002010948
1761085107.0917614,68,baixo,1,1,1,1,1,1,1,1,69,109.1598637814929
1761085107.0917614,69,baixo,1,1,1,1,1,1,1,1,70,109.78485818234621
1761085107.0917614,70,baixo,1,1,1,1,1,1,1,1,71,110.44310339140857
1761085107.0917614,71,baixo,1,1,1,1,1,1,1,1,72,111.14156214277277
1761085107.0917614,72,baixo,1,1,1,1,1,1,1,1,73,111.88637788076774
1761085107.0917614,73,baixo,1,1,1,1,1,1,1,1,74,112.6827495966238
1761085107.0917614,74,baixo,1,1,1,1,1,1,1,1,75,113.53482590693348
1761085107.0917614,75,baixo,1,1,1,1,1,1,1,1,76,114.44562053189813
1761085107.0917614,76,baixo,1,1,1,1,1,1,1,1,77,115.41695089536222
1761085107.0917614,77,baixo,1,1,1,1,1,1,1,1,78,116.4494010975667
1761085107.0917614,78,baixo,1,1,1,1,1,1,1,1,79,117.54231001499498
1761085107.0917614,79,baixo,1,1,1,1,1,1,1,1,80,118.69378476975899
1761085107.0917614,80,baixo,1,1,1,1,1,1,1,1,81,119.90073929410732
1761085107.0917614,81,baixo,1,1,1,1,1,1,1,1,82,121.15895720436214
1761085107.0917614,82,baixo,1,1,1,1,1,1,1,1,83,122.46317770332385
1761085107.0917614,83,baixo,1,1,1,1,1,1,1,1,84,123.80720276101302
1761085107.0917614,84,baixo,1,1,1,1,1,1,1,1,85,125.18402339010461
