timestamp,generation,eval_id,cat,x1,x2,x3,x4,x5,x6,x7,x8,x9,objective,phase
1761086286.521021,0,0,baixo,35,12,99,53,35,14,5,49,69,409.5036432268318,GA
1761086286.5220275,0,1,baixo,43,44,7,21,18,44,72,43,90,414.3277660545332,GA
1761086286.5220275,0,2,baixo,21,1,56,100,12,77,49,9,1,368.03170056494616,GA
1761086286.5220275,0,3,baixo,94,58,14,6,12,86,19,17,3,355.5889302619694,GA
1761086286.5220275,0,4,baixo,56,74,62,34,61,5,99,40,44,509.1914742694296,GA
1761086286.5220275,0,5,baixo,62,27,78,82,68,73,41,2,51,507.16657228732845,GA
1761086286.5220275,0,6,baixo,66,56,88,69,82,86,77,63,67,680.4238953271528,GA
1761086286.5220275,0,7,baixo,54,48,66,5,97,83,24,93,11,522.6104151699221,GA
1761086286.5220275,0,8,baixo,85,34,22,43,44,71,51,10,93,483.8837353539053,GA
1761086286.5220275,0,9,baixo,50,74,100,44,3,25,76,12,81,494.99149815773836,GA
1761086286.5220275,0,10,baixo,2,46,30,52,69,65,93,8,82,480.30686915280944,GA
1761086286.5220275,0,11,baixo,64,98,81,93,30,70,62,23,20,571.9277495519319,GA
1761086286.5220275,0,12,baixo,57,49,97,60,6,2,18,59,25,418.991106977425,GA
1761086286.5220275,0,13,baixo,33,46,88,35,56,82,54,1,14,440.82710463659146,GA
1761086286.5220275,0,14,baixo,9,66,46,91,12,11,56,2,69,405.5065558033284,GA
1761086286.5220275,0,15,baixo,10,70,89,82,52,4,42,34,61,476.0266719148843,GA
1761086286.5220275,0,16,baixo,97,72,43,54,45,4,82,82,21,531.1235154487099,GA
1761086286.5220275,0,17,baixo,9,92,87,19,48,86,31,96,11,517.9990044209784,GA
1761086286.5220275,0,18,baixo,8,98,67,50,69,40,19,84,99,571.2961227498405,GA
1761086286.5220275,0,19,baixo,100,50,48,17,69,44,67,16,81,528.892503046162,GA
1761086286.5220275,0,20,baixo,76,50,56,8,95,18,59,86,3,493.08501983584324,GA
1761086286.5220275,0,21,baixo,58,95,95,93,92,86,58,39,55,715.3360600082157,GA
1761086286.5220275,0,22,baixo,21,67,42,67,66,72,18,44,65,490.46436579819505,GA
1761086286.5220275,0,23,baixo,70,93,48,29,73,44,12,35,65,496.43231573007483,GA
1761086286.5220275,0,24,baixo,27,42,34,51,6,65,11,26,65,358.2274636829108,GA
1761086286.5220275,0,25,baixo,98,3,25,35,73,30,11,77,41,416.5902333566915,GA
1761086286.5220275,0,26,medio,44,71,69,18,69,18,62,64,94,562.4836263408348,GA
1761086286.5220275,0,27,medio,100,4,33,92,74,63,44,51,29,541.7365284303839,GA
1761086286.5220275,0,28,medio,17,79,82,1,77,78,64,44,90,574.9916810530449,GA
1761086286.5220275,0,29,medio,16,89,7,47,59,47,86,54,41,507.15745890145007,GA
1761086286.5220275,0,30,medio,28,99,58,44,97,25,24,49,8,490.9460995196038,GA
1761086286.5220275,0,31,medio,49,65,34,23,72,49,48,9,38,437.927756248049,GA
1761086286.5220275,0,32,medio,34,65,78,42,8,49,7,76,50,459.1678821928984,GA
1761086286.5220275,0,33,medio,14,60,74,98,91,42,32,83,58,605.4489951335571,GA
1761086286.5220275,0,34,medio,57,73,74,45,32,89,59,65,74,613.717408468902,GA
1761086286.5220275,0,35,medio,44,7,24,16,3,55,85,64,94,452.0745091589813,GA
1761086286.5220275,0,36,medio,62,69,6,61,70,19,42,48,29,458.4557807768083,GA
1761086286.5220275,0,37,medio,5,60,65,77,100,37,91,75,2,563.3121606848836,GA
1761086286.5220275,0,38,medio,94,50,30,89,9,33,37,22,54,470.58740041374006,GA
1761086286.5220275,0,39,medio,55,6,78,2,64,87,22,26,6,400.20687269363043,GA
1761086286.5220275,0,40,medio,68,22,98,95,68,25,39,64,60,592.6731283762791,GA
1761086286.5220275,0,41,medio,37,68,12,14,57,79,70,72,36,490.6876630805729,GA
1761086286.5220275,0,42,medio,67,9,82,51,53,58,15,8,73,477.0381319551572,GA
1761086286.5220275,0,43,medio,98,84,56,67,46,20,64,18,25,534.7902439407678,GA
1761086286.5220275,0,44,medio,31,5,32,27,10,52,4,2,53,271.1982997504485,GA
1761086286.5220275,0,45,medio,42,71,4,6,32,94,56,90,38,484.9511481244456,GA
1761086286.5220275,0,46,medio,39,15,37,86,83,42,28,66,4,443.76032605243637,GA
1761086286.5220275,0,47,medio,47,20,60,29,54,29,66,85,56,499.99761100437047,GA
1761086286.5220275,0,48,medio,72,25,50,10,64,6,37,18,61,398.8752255725282,GA
1761086286.5220275,0,49,medio,93,14,17,16,59,46,71,79,3,456.70170967680053,GA
1761086286.5220275,0,50,medio,67,46,37,47,28,50,7,14,66,416.3911379653737,GA
1761086286.5220275,0,51,medio,76,86,42,95,11,100,86,27,50,626.3328611646897,GA
1761086286.5220275,0,52,alto,54,17,61,18,1,21,12,43,5,290.87434646757623,GA
